"";
"Empresa";"1 - Ruppenthal Engenharia e Construção Ltda";
"Período";"01/05/2025 a 31/10/2027";"Data do cálculo";"12/05/2026";
"Juros";"0,00";"Multa";"0,00";
"Após Vencto - Indexador";"0 REAL";
"";
"Centro de Custo: ";"4 - Orla de Ipanema";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"Thiago Da Silva Vargas-Transportes";"NFS. 1402262";"3584/1";"1";"0";"23/02/2026";"100,00";"78";"8.080,00";"0,00";"0,00";"8.080,00";
"                          Obs: 6m3 de base                    900,00
2m3 de pó de brita         480,00
1 diária de retro              1.300,00
90m3 de bota fora      5.400,00";
"Thiago Da Silva Vargas-Transportes";"NFS. 210226";"3585/1";"1";"0";"02/03/2026";"100,00";"71";"3.100,00";"0,00";"0,00";"3.100,00";
"                          Obs: 30m3 de bota fora    1.800,00
10 m3 comp. Orgânico 1.300,00";
"Thiago Da Silva Vargas-Transportes";"NFM. 280226";"3754/1";"1";"0";"09/03/2026";"100,00";"64";"3.800,00";"0,00";"0,00";"3.800,00";
"                          Obs: ORLA DE IPANEMA 
1 diária caminhão        1.300,00
10m3 comp.organico 1.300,00
20m3 bota fora          1.200,00
                 Total           3.800,00";
"Thiago Da Silva Vargas-Transportes";"NFS. 070326";"3803/1";"1";"0";"16/03/2026";"100,00";"57";"1.950,00";"0,00";"0,00";"1.950,00";
"                          Obs: ORLA DO IPANEMA 
1 diária e 1/2 caminhão   1.950,00";
"X3 TERRAPLANAGEM E CONSTRUCAO LTDA";"NFS. 240226";"3441/3";"3";"0";"15/05/2026";"7,78";"0";"466,67";"0,00";"0,00";"466,67";
"                          Obs: CHEQUES 137 17/03     
                    138 17/04
                     139 17/05
FRETE LAMI PARA IPANEMA R$ 1.400,00 
FRETE DE MATERIAL PARA CORSAN E PARA MC3 R$ 900,00 
FRETE DE IGREJINHA PARA RITMO R$ 800,00 
FRETE DE IMBÉ PARA IGREJINHA R$ 3.200,00 
FRETE RITMO PARA MC3 R$ 600,00 
FRETE DEVOLUÇÃO DA MAQUINA (ESCAVADEIRA R$ 2.000,00 
10 DIÁRIAS CAMINHÃO IGREJINHA R$ 9100,00
";
"";
"Centro de Custo: ";"6 - GARTEN HAUS";
"Credor";"Documento";"Lançamento";"Qt.";"Ind.";"Data vencto";"%";"Dias";"Valor no vencto";"Acréscimo";"Desconto";"Total";
"A F B COMERCIO E REPRESENTACOES LTDA";"NFM. 304";"4291/1";"3";"0";"10/05/2026";"100,00";"2";"1.149,36";"0,00";"0,00";"1.149,36";
"                          Obs: CONEXÕES DE FERRO FUNDINDO
CARTÃO DE CREDITO SANTANDER";
"A F B COMERCIO E REPRESENTACOES LTDA";"NFM. 304";"4291/2";"3";"0";"10/06/2026";"100,00";"0";"1.149,37";"0,00";"0,00";"1.149,37";
"                          Obs: CONEXÕES DE FERRO FUNDINDO
CARTÃO DE CREDITO SANTANDER";
"A F B COMERCIO E REPRESENTACOES LTDA";"NFM. 304";"4291/3";"3";"0";"10/07/2026";"100,00";"0";"1.149,37";"0,00";"0,00";"1.149,37";
